SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532045,NEXXOFT INFO,T ,Q,10.26,11.00,10.26,10.46,10.30,10.71,49,44536,468560.00,
513683,NEYVELI LIGN,A ,Q,85.35,86.95,85.05,85.35,85.35,86.10,271,17784,1520668.00,
524774,NGL FINE CHM,B ,Q,11.40,11.40,10.90,10.90,10.90,11.46,3,100,1115.00,
517554,NHCFOODS    ,B ,Q,25.20,25.20,25.05,25.05,25.05,26.35,4,817,20585.00,
533098,NHPC        ,A ,Q,20.00,20.15,19.80,19.90,19.90,20.05,1272,358501,7161202.00,
590028,NICCO COR(PS,B ,Q,1.66,1.68,1.63,1.67,1.67,1.68,13,8250,13776.00,
526721,NICCO PARKS ,B ,Q,19.45,20.15,19.25,19.90,19.90,19.95,36,1495,29335.00,
523209,NICCO UCO AL,B ,Q,0.44,0.44,0.44,0.44,0.44,0.44,1,100,44.00,
590103,NIFTY BEES  ,B ,Q,525.50,531.00,523.80,528.50,528.50,528.80,76,607,319938.00,
531083,NIHAR INFO  ,B ,Q,2.22,2.22,2.22,2.22,2.22,2.12,1,3,6.00,
500304,NIIT LTD.   ,B ,Q,49.70,50.40,49.50,50.05,50.05,50.10,237,518112,25657758.00,
532541,NIITTECH    ,B ,Q,257.50,260.65,253.25,255.75,255.75,260.65,484,7044,1803148.00,
526159,NIKHIL ADHSV,B ,Q,31.00,33.00,31.00,33.00,33.00,31.85,4,152,5013.00,
531272,NIKKI GLOBAL,B ,Q,140.00,145.45,138.00,143.65,143.80,138.65,92,6182,875532.00,
530377,NILA INFRA. ,B ,Q,3.42,3.63,3.19,3.55,3.55,3.32,328,267827,937703.00,
530129,NILE LTD.   ,B ,Q,125.95,125.95,120.20,121.35,120.20,123.25,16,1019,123670.00,
523385,NILKAMAL L  ,B ,Q,218.50,222.00,213.30,218.75,218.75,218.10,92,2299,502098.00,
531598,NIMBUS FOOD ,B ,Q,1.50,1.54,1.46,1.47,1.50,1.47,13,11912,17907.00,
530971,NIMBUS IND. ,T ,Q,12.36,12.36,12.36,12.36,12.36,12.12,1,10,123.00,
504058,NIPPO BATT  ,B ,Q,409.75,409.75,390.00,405.00,405.00,400.25,14,226,89928.00,
532986,NIRAJ CEMENT,B ,Q,17.00,17.70,16.55,16.60,16.60,17.15,57,10866,184248.00,
500307,NIRLON      ,T ,Q,41.05,44.35,41.00,44.35,44.35,42.25,42,6472,282711.00,
532789,NISSAN COPER,B ,Q,15.00,16.50,15.00,16.21,16.15,15.09,89,30930,502845.00,
532722,NITCO TILES ,B ,Q,40.85,40.85,39.30,39.40,39.75,40.20,130,19631,784753.00,
533202,NITESH EST  ,B ,Q,16.10,16.65,16.00,16.21,16.30,16.51,92,11682,190786.00,
532854,NITIN FIRE  ,B ,Q,53.05,54.80,51.35,51.85,51.85,53.35,2507,250269,13342816.00,
532698,NITINSPINNER,B ,Q,6.15,6.20,6.00,6.12,6.12,6.16,28,4703,28531.00,
506532,NITTA GELA  ,B ,Q,90.05,90.05,84.95,85.25,85.00,90.60,84,3700,319549.00,
517534,NIVYAHITSL  ,B ,Q,9.99,9.99,8.40,8.51,8.51,9.76,575,601404,5179381.00,
511523,NIYATI IND..,B ,Q,0.58,0.60,0.58,0.60,0.60,0.60,5,10509,6095.00,
526371,NMDC LTD    ,A ,Q,161.00,162.50,160.00,161.05,161.05,162.40,1008,34226,5517839.00,
506991,NOBLE EXPLO.,B ,Q,1.63,1.63,1.49,1.61,1.61,1.56,6,203,303.00,
500730,NOCIL LTD   ,B ,Q,16.40,16.70,16.40,16.50,16.50,16.60,178,42908,709228.00,
523670,NOIDA MEDI  ,B ,Q,13.05,14.00,12.67,13.98,13.98,12.85,36,4209,57525.00,
532481,NOIDA-TOLL B,B ,Q,23.20,24.60,22.90,24.00,24.00,23.25,507,121255,2888327.00,
534184,NORL        ,B ,Q,8.70,9.00,8.05,8.12,8.21,8.85,1393,470670,3991844.00,
